Acquisition Time (ms)	Shunt Voltage (V)	Sample Voltage (V)	Integrated Sample Voltage (V)					
milliseconds	Volts	Volts	Volts					
7531751	0.1773212178	5.5791352E-6	0.0104464416	-0.0016705584		0.0225634416	232	6.3835638408
7532000	0.1568994406	5.722615E-6	0.0104451643	-0.0016788357		0.0225691643	233	5.6483798616
7532250	0.1364704636	5.7629687E-6	0.0104439272	-0.0016870728		0.0225749272	234	4.9129366896
7532500	0.1163012968	6.193408E-6	0.0104431206	-0.00169487940000001		0.0225811206	235	4.1868466848
7532750	0.0946639151	5.0904072E-6	0.010441211	-0.001703789		0.022586211	236	3.4079009436
7533000	0.0764669634	5.6822613E-6	0.0104398933	-0.0017121067		0.0225918933	237	2.7528106824
7533250	0.0559750404	5.0052161E-6	0.0104378985	-0.0017211015		0.0225968985	238	2.0151014544
7533500	0.0352535725	4.6375492E-6	0.0104355361	-0.0017304639		0.0226015361	239	1.26912861
7533750	0.0147654444	3.8618616E-6	0.0104323979	-0.0017406021		0.0226053979	240	0.5315559984
7545250	-0.0019292856	5.1621471E-6	0.0104305601	-0.0017494399		0.0226105601	241	-0.0694542816
7545500	-0.0197034971	4.1981424E-6	0.0104277582	-0.0017592418		0.0226147582	242	-0.7093258956
7545750	-0.0399461862	5.6150052E-6	0.0104263732	-0.0017676268		0.0226203732	243	-1.4380627032
7546000	-0.060171291	4.8213827E-6	0.0104241946	-0.0017768054		0.0226251946	244	-2.166166476
7546250	-0.0805004668	4.7855127E-6	0.0104219801	-0.0017860199		0.0226299801	245	-2.8980168048
7546500	-0.101082273	5.3235619E-6	0.0104203037	-0.0017946963		0.0226353037	246	-3.638961828
7546750	-0.125794271	4.5523581E-6	0.010417856	-0.001804144		0.022639856	247	-4.528593756
7547000	-0.1418812557	4.6330654E-6	0.0104154891	-0.0018135109		0.0226444891	248	-5.1077252052
7547251	-0.1618949656	3.9201503E-6	0.0104124092	-0.0018235908		0.0226484092	249	-5.8282187616
7547500	-0.1821173794	3.4762597E-6	0.0104088855	-0.0018341145		0.0226518855	250	-6.5562256584
7547750	-0.2023256146	2.4136126E-6	0.0104042991	-0.0018457009		0.0226542991	251	-7.2837221256
7548000	-0.222565078	1.9293683E-6	0.0103992285	-0.0018577715		0.0226562285	252	-8.012342808
7548250	-0.2432433718	2.6736697E-6	0.0103949022	-0.0018690978		0.0226589022	253	-8.7567613848
7548500	-0.2638094292	3.2700075E-6	0.0103911722	-0.0018798278		0.0226621722	254	-9.4971394512
7548750	-0.284282376	3.9470527E-6	0.0103881192	-0.0018898808		0.0226661192	255	-10.234165536
7549000	-0.304547679	4.7899964E-6	0.0103859092	-0.0018990908		0.0226709092	256	-10.963716444
