Acquisition Time (ms)	Shunt Voltage (V)	Sample Voltage (V)	Integrated Sample Voltage (V)						
milliseconds	Volts	Volts	Volts						
5105500	-0.2904186239	4.5658093E-6	0.0114166476	0.0096672476				255	-10.4550704604
5105750	-0.3110974919	5.0410861E-6	0.0114155887	0.0096600887				256	-11.1995097084
5106000	-0.3318369613	3.785638E-6	0.0114132744	0.0096516744				257	-11.9461306068
5106250	-0.3528981659	4.2205611E-6	0.0114113949	0.0096436949				258	-12.7043339724
5106500	-0.3732754402	5.0859235E-6	0.0114103809	0.0096365809				259	-13.4379158472
5106750	-0.3937253744	3.1713652E-6	0.0114074522	0.0096275522				260	-14.1741134784
5107000	-0.4144941286	4.6689354E-6	0.0114060212	0.0096200212				261	-14.9217886296
5107250	-0.4351229959	3.6959631E-6	0.0114036171	0.0096115171				262	-15.6644278524
5107500	-0.455722446	4.0725975E-6	0.0114015897	0.0096033897				263	-16.406008056
5107750	-0.4762028134	4.2429798E-6	0.0113997327	0.0095954327				264	-17.1433012824
5108000	-0.4965090179	3.7183818E-6	0.0113973511	0.0095869511				265	-17.8743246444
5108250	-0.517541247	3.3865849E-6	0.0113946377	0.0095781377				266	-18.631484892
5108500	-0.5384802329	3.139979E-6	0.0113916776	0.0095690776				267	-19.3852883844
5108750	-0.559136044	3.3507149E-6	0.0113889284	0.0095602284				268	-20.128897584
5109000	-0.5798240552	2.669186E-6	0.0113854975	0.0095506975				269	-20.8736659872
5109250	-0.6005038949	2.337389E-6	0.0113817349	0.0095408349				270	-21.6181402164
5109500	-0.6204152626	8.398187546E-7	0.0113764748	0.0095294748				271	-22.3349494536
5109750	-0.6413207675	1.3106118E-6	0.0113716854	0.0095185854				272	-23.08754763
5110000	-0.662389967	1.6603437E-6	0.0113672457	0.0095080457				273	-23.846038812
5110250	-0.6832080592	1.2433556E-6	0.0113623891	0.0094970891				274	-24.5954901312
5110500	-0.7039631649	1.6513763E-6	0.0113579404	0.0094865404				275	-25.3426739364
5110750	-0.7245400882	5.035380201E-7	0.011352344	0.009474844				276	-26.0834431752
5111000	-0.7451584872	8.532699839E-7	0.0113470972	0.0094634972				277	-26.8257055392
5111250	-0.7659945125	1.324063E-6	0.0113423213	0.0094526213				278	-27.57580245
5111500	-0.7859776567	1.3913192E-6	0.0113376126	0.0094418126				279	-28.2951956412
5111750	-0.807023446	-2.362795957E-7	0.0113312763	0.0094293763				280	-29.052844056
5112000	-0.8278349568	2.1580392E-6	0.0113273344	0.0094193344				281	-29.8020584448
5112250	-0.8486053012	1.1581645E-6	0.0113223926	0.0094082926				282	-30.5497908432
5112500	-0.8692328876	1.4675428E-6	0.0113177601	0.0093975601				283	-31.2923839536
5112750	-0.8892496452	5.214729926E-7	0.0113121816	0.0093858816				284	-32.0129872272
5113000	-0.9097869037	4.587005888E-7	0.0113065403	0.0093741403				285	-32.7523285332
5113250	-0.9307259338	1.2568069E-6	0.0113016971	0.0093631971				286	-33.5061336168
5113500	-0.9518559555	4.676680751E-7	0.0112960647	0.0093514647				287	-34.266814398
5113750	-0.9726132697	-2.273121095E-7	0.0112897374	0.0093390374				288	-35.0140777092
5114000	-0.9933772093	-4.201130639E-7	0.0112832173	0.0093264173				289	-35.7615795348
5114250	-1.0140402	6.739202589E-7	0.0112777912	0.0093148912				290	-36.5054472
5114500	-1.0345394	-4.470155227E-7	0.0112712442	0.0093022442				291	-37.2434184
5114750	-1.0554758	-7.93485863E-8	0.0112650649	0.0092899649				292	-37.9971288
5115000	-1.0766035	-8.236499452E-7	0.0112581412	0.0092769412				293	-38.757726
5115250	-1.0974815	-1.4289553E-6	0.0112506123	0.0092633123				294	-39.509334
5115500	-1.1177659	-1.9759719E-6	0.0112425363	0.0092491363				295	-40.2395724
5115750	-1.1382429	-2.1687729E-6	0.0112342675	0.0092347675				296	-40.9767444
5116000	-1.1587353	-2.7964969E-6	0.011225371	0.009219771				297	-41.7144708
5116250	-1.1794453	-3.1686476E-6	0.0112161024	0.0092044024				298	-42.4600308
5116500	-1.2047465	-3.6170219E-6	0.0112063854	0.0091885854				299	-43.370874
5116750	-1.2213708	-2.4736674E-6	0.0111978117	0.0091739117				300	-43.9693488
5117000	-1.2423189	-2.4557324E-6	0.011189256	0.009159256				301	-44.7234804
5117250	-1.262392	-2.8144319E-6	0.0111803415	0.0091442415				302	-45.446112
5117500	-1.2830407	-2.3615738E-6	0.01117188	0.00912968				303	-46.1894652
5117750	-1.3037246	-2.603696E-6	0.0111631763	0.0091148763				304	-46.9340856
5118000	-1.3242868	-3.4331884E-6	0.0111536431	0.0090992431				305	-47.6743248
5118250	-1.345275	-4.0384938E-6	0.0111435046	0.0090830046				306	-48.4299
